,timestamp,stored,actor,verb,object,result
1328,2023-03-10 11:53:53.399000+00:00,2023-03-10T11:53:53.399Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1327,2023-03-10 11:53:55.423000+00:00,2023-03-10T11:53:55.423Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1326,2023-03-10 11:53:56.714000+00:00,2023-03-10T11:53:56.714Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1325,2023-03-10 11:53:58.256000+00:00,2023-03-10T11:53:58.256Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1324,2023-03-10 11:54:04.310000+00:00,2023-03-10T11:54:04.310Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1323,2023-03-10 11:54:05.714000+00:00,2023-03-10T11:54:05.714Z,Android1,Swiped,Left,"{""score"":{""raw"":0}}"
1322,2023-03-10 11:54:08.189000+00:00,2023-03-10T11:54:08.189Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1321,2023-03-10 11:54:09.657000+00:00,2023-03-10T11:54:09.657Z,Android4,Swiped,Right,"{""score"":{""raw"":0}}"
1320,2023-03-10 11:54:10.253000+00:00,2023-03-10T11:54:10.253Z,Android4,Swiped,Right,"{""score"":{""raw"":0}}"
1319,2023-03-10 11:54:10.381000+00:00,2023-03-10T11:54:10.381Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1318,2023-03-10 11:54:12.624000+00:00,2023-03-10T11:54:12.624Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1317,2023-03-10 11:54:14.324000+00:00,2023-03-10T11:54:14.324Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1316,2023-03-10 11:54:15.007000+00:00,2023-03-10T11:54:15.007Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1315,2023-03-10 11:54:19.593000+00:00,2023-03-10T11:54:19.593Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1314,2023-03-10 11:54:19.713000+00:00,2023-03-10T11:54:19.713Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1313,2023-03-10 11:54:20.111000+00:00,2023-03-10T11:54:20.111Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1312,2023-03-10 11:54:20.181000+00:00,2023-03-10T11:54:20.181Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1311,2023-03-10 11:54:22.957000+00:00,2023-03-10T11:54:22.957Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1310,2023-03-10 11:54:23.253000+00:00,2023-03-10T11:54:23.253Z,Tablet 2,Placed,Earth,"{""score"":{""raw"":0}}"
1309,2023-03-10 11:54:23.693000+00:00,2023-03-10T11:54:23.693Z,Android4,Placed,Earth,"{""score"":{""raw"":0}}"
1308,2023-03-10 11:54:26.599000+00:00,2023-03-10T11:54:26.599Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1307,2023-03-10 11:54:27.802000+00:00,2023-03-10T11:54:27.802Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1306,2023-03-10 11:54:29.515000+00:00,2023-03-10T11:54:29.515Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1305,2023-03-10 11:54:32.913000+00:00,2023-03-10T11:54:32.913Z,Android4,Placed,Earth,"{""score"":{""raw"":0}}"
1304,2023-03-10 11:54:47.349000+00:00,2023-03-10T11:54:47.349Z,Android2,Swiped,Left,"{""score"":{""raw"":0}}"
1303,2023-03-10 11:54:49.585000+00:00,2023-03-10T11:54:49.585Z,Android2,Swiped,Left,"{""score"":{""raw"":0}}"
1302,2023-03-10 11:54:50.408000+00:00,2023-03-10T11:54:50.408Z,Android2,Swiped,Left,"{""score"":{""raw"":0}}"
1301,2023-03-10 11:54:55.435000+00:00,2023-03-10T11:54:55.435Z,Tablet 2,Placed,Earth,"{""score"":{""raw"":0}}"
1300,2023-03-10 11:54:57.692000+00:00,2023-03-10T11:54:57.692Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1299,2023-03-10 11:55:00.954000+00:00,2023-03-10T11:55:00.954Z,Android2,Swiped,Left,"{""score"":{""raw"":0}}"
1298,2023-03-10 11:55:01.382000+00:00,2023-03-10T11:55:01.382Z,Android2,Swiped,Right,"{""score"":{""raw"":0}}"
1297,2023-03-10 11:55:02.713000+00:00,2023-03-10T11:55:02.713Z,Android2,Swiped,Right,"{""score"":{""raw"":0}}"
1296,2023-03-10 11:55:15.259000+00:00,2023-03-10T11:55:15.259Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1295,2023-03-10 11:55:16.163000+00:00,2023-03-10T11:55:16.163Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1294,2023-03-10 11:55:16.916000+00:00,2023-03-10T11:55:16.916Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1293,2023-03-10 11:55:17.595000+00:00,2023-03-10T11:55:17.595Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1292,2023-03-10 11:55:35.571000+00:00,2023-03-10T11:55:35.571Z,Android4,Placed,Earth,"{""score"":{""raw"":0}}"
1291,2023-03-10 11:55:35.973000+00:00,2023-03-10T11:55:35.973Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1290,2023-03-10 11:55:39.792000+00:00,2023-03-10T11:55:39.792Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1289,2023-03-10 11:55:41.705000+00:00,2023-03-10T11:55:41.705Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1288,2023-03-10 11:55:56.502000+00:00,2023-03-10T11:55:56.502Z,Android1,Swiped,Left,"{""score"":{""raw"":0}}"
1287,2023-03-10 11:56:22.483000+00:00,2023-03-10T11:56:22.483Z,Android4,Placed,Earth,"{""score"":{""raw"":0}}"
1286,2023-03-10 11:56:36.040000+00:00,2023-03-10T11:56:36.040Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1285,2023-03-10 11:56:36.585000+00:00,2023-03-10T11:56:36.585Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1284,2023-03-10 11:56:43.750000+00:00,2023-03-10T11:56:43.750Z,Android1,Swiped,Right,"{""score"":{""raw"":0}}"
1283,2023-03-10 11:56:48.807000+00:00,2023-03-10T11:56:48.807Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1282,2023-03-10 11:56:50.743000+00:00,2023-03-10T11:56:50.743Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1281,2023-03-10 11:56:51.393000+00:00,2023-03-10T11:56:51.393Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
